Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
UI/Collections/MonsterInfo/DEF,Text,,방어,Armure,防御,防御,防禦
UI/Collections/MonsterInfo/DODGE,Text,,회피,Esquive,回避,闪避,閃避
UI/Collections/MonsterInfo/DOT,Text,,고통,Douleur,苦痛,痛苦,痛苦
UI/Collections/MonsterInfo/Resist,Text,,저항,Résistance,レジスト,抵抗,抵抗
UI/Collections/MonsterInfo/Solution,Text,,공략 가이드,Guide de jeu,攻略ガイド,攻略指南,攻略指南
UI/Collections/MonsterInfo/Stage1,Text,,안개 정원,Le Jardin Brumeux,霧の庭園,迷雾庭院,迷霧庭院
UI/Collections/MonsterInfo/Stage2,Text,,핏빛 공원,Le Parc Sanglant,血みどろ遊園地,血色公园,血色遊樂園
UI/Collections/MonsterInfo/Stage3,Text,,하얀 무덤,Le Cimetière Blanc,白い墓地,白色墓地,白色墓地
UI/Collections/MonsterInfo/Stage4,Text,,성역,Le Sanctuaire,聖域,圣域,聖域
UI/Collections/MonsterInfo/StageCrimson,Text,,붉은 황야,La Plaine Pourpre,赤い荒野,红色荒野,紅色荒野
UI/Collections/MonsterInfo/Stat,Text,,능력치,Statistiques,ステータス,能力值,能力值
UI/Collections/MonsterInfo/Stat_Debuff,Text,,능력치 / 디버프,Statistiques / Malus,ステータス・デバフ,能力值 / 减益,能力值 / 減益
UI/Collections/MonsterInfo/Story,Text,,스토리,Histoire,ストーリー,剧情,劇情
UI/Collections/MoveCursor,Text,,커서 이동,Déplacer le curseur,カーソル移動,光标移动,游標移動
UI/Collections/Skill,Text,,스킬,Compétence,スキル,技能,技能
UI/Collections/SkillInfo/ShowRelativeSkill,Text,,연관 스킬,Compétences associées,関連スキル,关联技能,關聯技能
UI/Collections/SkillInfo/ShowSkillDetail,Text,,스킬 자세히 보기,Voir les détails de la compétence,スキル確認,查看技能详情,看技能詳情
UI/Collections/Statistics,Text,,통계,Statistiques,統計,统计,統計
UI/Collections/Unknown,Text,,발견되지 않음,???,未発見,未发现,未發現
UI/Cutscene/Future,Text,,「방주에 존재했던 602명의 영혼을 기리며」,« À la mémoire des 602 âmes qui ont existé dans l'Arche. »,「アークにいた602人の魂を称え」,「为缅怀曾居住在方舟里的602位灵魂」,「為緬懷曾居住在方舟裡的602位靈魂」
UI/DialogueUI/SkipButton,Text,,빨리감기,Avance rapide,早送り,快进,快轉
UI/Enforce/Enforce,Text,,강화,Améliorer,強化,强化,強化
UI/Enforce/EnforceComplete,Text,,스킬 강화 완료,Compétence améliorée avec succès,スキル強化完了,技能强化完成,技能強化完成
UI/Enforce/EnforceContidion,Text,,강화 조건,Condition,強化条件,强化条件,強化條件
UI/Enforce/EnforceTooltip,Text,,"<b>시너지</b>
&a 이외의 스킬만 선택하여 강화할 수 있습니다.",<b>Synergie</b> Vous pouvez améliorer toutes les compétences sauf celles de &a.,"<b>シナジー</b>
 &a以外のスキルを選択して強化できる。","<b>协同</b>
  只能选择强化&a以外的技能。","<b>協同</b>
只能選擇強化&a以外的技能。"
UI/Enforce/FaceName,Text,,시너지 : &a,Synergie : &a,シナジー : &a,协同：&a,協同：&a
UI/Enforce/SelectEnforce,Text,,강화 할 효과를 선택해 주세요.,Sélectionnez un effet d'amélioration.,強化する効果を選んでください。,请选择想要强化的效果。,請選擇想要強化的效果。
UI/Enforce/SelectWeak,Text,,약화할 효과를 선택해 주세요.,Sélectionnez un effet de dégradation.,弱化する効果を選んでください。,请选择想要弱化的效果。,請選擇想要弱化的效果。
UI/Enforce/Warning,Text,,강화 혹은 약화한 스킬은 고정능력으로 지정하거나 잊을 수 없습니다.,Les compétences améliorées ou dégradées ne peuvent pas être utilisées comme Compétence Fixe ni être oubliées.,強化、もしくは弱化したスキルは固定能力に指定したり、忘れたりすることができません。,强化或弱化的技能无法指定为固定能力或遗忘。,強化或弱化的技能無法指定為固定能力或遺忘。
UI/Enforce/Weak,Text,,약화,Dégrader,弱化,弱化,弱化
UI/Field/GotTimeShade,Text,,타임 셰이드를 얻었습니다,Éclat du Temps obtenu,タイムシェイドを獲得しました。,已获得时光之影,已獲得時光之影
UI/Field/MoveNextStage,Text,,다음 지역 이동,Passer à l'étape suivante,次のエリアへ,前往下一区域,前往下一區域
UI/Field/Object/Anvil/Comb,Text,,조합,Reforger,調合,组合,組合
UI/Field/Object/Anvil/Comb_Desc,Text,,2개의 아이템을 조합하여 새로운 아이템을 제작합니다. 더 높은 등급이 제작될 수 있습니다.,Créez un nouvel objet en reforgeant 2 objets. Cela peut augmenter son palier.,2個のアイテムを調合し、新しいアイテムを作ります。より高いグレードのアイテムができる場合があります。,组合2个道具获得新道具，有一定概率获得更高等级的道具。,組合2個道具獲得新道具，有一定機率獲得更高等級的道具。
UI/Field/Object/Anvil/Combine_Info,Text,,조합 시 :,Résultat du reforgage :,調合結果：,组合时：,組合時：
UI/Field/Object/Anvil/Convert,Text,,변환,Convertir,変換,转换,轉換
UI/Field/Object/Anvil/ConvertHelp1,Text,,장비,Équipement,装備,装备,裝備
UI/Field/Object/Anvil/ConvertHelp2,Text,,유물,Relique,遺物,遗物,遺物
UI/Field/Object/Anvil/ConvertHelp3,Text,,황금 사과,Pomme d'or,黄金の林檎,金苹果,金蘋果
UI/Field/Object/Anvil/Convert_Desc,Text,,골드와 1개의 아이템으로 같은 등급의 다른 아이템을 제작합니다.,Créez un nouvel objet du même palier à partir d'un objet et d'Or.,ゴールドとアイテム1個を消費し、同じグレードの新しいアイテムを製作します。,使用金币和1个道具制作相同等级的其它道具。,使用金幣和1個道具製作相同等級的其它道具。
UI/Field/Object/Anvil/Help1,Text,,장비 + 장비,Équipement + Équipement,装備＋装備,装备 + 装备,裝備 + 裝備
UI/Field/Object/Anvil/Help2,Text,,장비 + 황금사과,Équipement + Pomme d'or,装備＋黄金の林檎,装备 + 金苹果,裝備 + 金蘋果
UI/Field/Object/Anvil/Guide,Text,,"장비 + 장비 = 상위 등급 장비 획득
유물 + 유물 = 유물 4개 중 1개 선택","Équipement + Équipement = Équipement de palier supérieur
Relique + Relique = Choisissez 1 Relique parmi 4","装備＋装備＝上位グレードの装備を獲得
遺物＋遺物＝遺物4個の中から1個選択","装备 + 装备 = 获得更高等级的装备
遗物 + 遗物 = 从4个遗物中选择1个","裝備 + 裝備 = 獲得更高等級的裝備
遺物 + 遺物 = 從4個遺物中選擇1個"
UI/Field/Object/Anvil/HelpUISub,Text,,아래의 아이템을 넣어보세요.,Essayez de placer un objet ci-dessous.,以下のアイテムを調合してみましょう。,请放入以下道具。,請放入以下道具。
UI/Field/Object/Anvil/HelpUITitle,Text,,도움말,Aide,ヘルプ,帮助,幫助
UI/Field/Object/Anvil/Per0,Text,,일반,Commun,オプション,普通,普通
UI/Field/Object/Anvil/Per1,Text,,고급,Peu commun,アンコモン,高级,進階
UI/Field/Object/Anvil/Per2,Text,,희귀,Rare,レア,稀有,稀有
UI/Field/Object/Anvil/Per3,Text,,영웅,Héroïque,ヒロイック,英雄,英雄
UI/Field/Object/Anvil/Per4,Text,,전설,Légendaire,レジェンダリー,传说,傳說
UI/Field/Object/Anvil/Sale,Text,,1회 반값,Moitié prix (1re utilisation),1回半額,半价1次,半價1次
UI/Field/Object/Anvil/Title,Text,,대장간,Forgeron,鍛冶屋,铁匠铺,鐵匠鋪
UI/Field/Object/Anvil/TitleSub,Text,,장비 아이템을 합성하거나 변환합니다.,Combiner ou transformer des équipements.,装備の調合や変換をします。,可以合成或转换装备道具。,可以合成或轉換裝備道具。
UI/Field/Object/ArchAngel/Title,Text,,대천사의 조각상,Statue de l'Archange,大天使の像,大天使的雕像,大天使的雕像
UI/Field/Object/ArchAngel/TitleSub,Text,,캐릭터의 스킬 중 하나를 지워 파티 내 다른 캐릭터의 스킬로 교체합니다.,Supprime une compétence d'un personnage et la remplace par une compétence d'un autre membre du groupe.,キャラクターのスキルを他のパーティーメンバーのスキルに変えます。,删除角色技能中的一个，用队伍内其他角色的技能代替。,刪除角色技能中的一個，用隊伍內其他角色的技能取代。
UI/Field/Object/ArchAngel/Use,Text,,기도하기,Prier,祈る,祈祷,祈禱
UI/Field/Object/ArchAngle/Use,Text,,기도하기,Prière,祈る,祈祷,祈禱
UI/Field/Object/Book/Title,Text,,지식의 무덤,Tombeau du savoir,知識の墓場,知识的坟墓,知識的墳墓
UI/Field/Object/Book/TitleSub,Text,,무작위 루시 스킬을 획득합니다.,Obtenez 1 compétence de Lucy aléatoire.,ルシーのスキルをランダムに習得する。,随机获得露西技能。,隨機獲得露西技能。
UI/Field/Object/Book/Use,Text,,스킬 배우기,Apprendre une compétence,スキル習得,学习技能,學習技能
UI/Field/Object/Combine/Help1,Text,,황금 사과,Pomme d'or,黄金の林檎,金苹果,金蘋果
UI/Field/Object/Combine/Help2,Text,,모든 아이템,Tous les objets,全アイテム,所有道具,所有道具
UI/Field/Object/Combine/HelpTitle,Text,,도움말,Aide,ヘルプ,帮助,幫助
UI/Field/Object/Combine/HelpTitleSub,Text,,아래의 아이템을 넣을 수 있습니다.,Vous pouvez placer des objets ci-dessous.,以下のアイテムを入れます。,可以放入以下道具。,可以放入以下道具。
UI/Field/Object/Combine/InputItem,Text,,아이템 넣기,Placer un objet,アイテムを入れる,放入道具,放入道具
UI/Field/Object/Combine/PutItem,Text,,아이템 넣기 (1개),Placer un objet (1),アイテムを入れる(1個),放入道具（1 个）,放入道具（1 個）
UI/Field/Object/Combine/Title,Text,,심연의 항아리,Jarre de l'Abîme,深淵の壺,深渊之坛,深淵之壇
UI/Field/Object/Combine/TitleSub,Text,,필요없는 아이템을 랜덤한 금화나 아이템으로 바꿉니다.,Transformez les objets indésirables en un autre objet ou en une quantité aléatoire d'Or.,アイテムをゴールドや他のアイテムに変化させます。,将不需要的道具随机转换成金币或道具。,將不需要的道具隨機轉換成金幣或道具。
UI/Field/Object/Enchant/Enchant,Text,,인챈트,Enchanter,エンチャント,附魔,附魔
UI/Field/Object/Enchant/Help1,Text,,장비,Équipement,装備,装备,裝備
UI/Field/Object/Enchant/Help2,Text,,스킬 북,Livre de compétences,スキルブック,技能书,技能書
UI/Field/Object/Enchant/Help3,Text,,루시 스킬 북,Livre de compétences de Lucy,ルシーのスキルブック,露西的技能书,露西的技能書
UI/Field/Object/Enchant/Help4,Text,,저주 받은 아이템,Objet maudit,呪われたアイテム,受诅咒的道具,受詛咒的道具
UI/Field/Object/Enchant/Help5,Text,,황금 사과,Pomme d'or,黄金の林檎,金苹果,金蘋果
UI/Field/Object/Enchant/LibraryTitle,Text,,무너진 도서관,Bibliothèque effondrée,崩れた図書館,坍塌的图书馆,坍塌的圖書館
UI/Field/Object/Enchant/LibraryTitleSub,Text,,장비 아이템을 인챈트 합니다.,Enchantement d'équipement.,装備をエンチャントする。,可以附魔装备道具。,可以附魔裝備道具。
UI/Field/Object/Enchant/Sale,Text,,1회 무료,Gratuit pour 1 utilisation,1回無料,免费1次,免費1次
UI/Field/Object/Greed/Destroyed,Text,,제단 사용불가,Impossible d'utiliser l'autel,祭壇使用不可,无法使用祭坛,無法使用祭壇
UI/Field/Object/Greed/PutItem,Text,,식량 바치기,Sacrifier du pain,食糧を捧げる,献祭,獻祭
UI/Field/Object/Greed/Title,Text,,탐욕의 제단,Autel de la cupidité,貪欲の祭壇,贪婪祭坛,貪婪祭壇
UI/Field/Object/Greed/TitleSub,Text,,식량을 바쳐 랜덤한 아이템을 얻을 수 있습니다.,Sacrifiez de la nourriture pour obtenir un objet aléatoire.,食糧を捧げ、ランダムなアイテムを獲得する。,可献祭食物获得随机道具。,可獻祭食物獲得隨機道具。
UI/Field/Object/Healing/Title,Text,,회복의 성소,Sanctuaire de régénération,回復の祭壇,复苏圣地,復甦聖地
UI/Field/Object/Healing/TitleSub,Text,,모든 파티원이 부활하고 체력을 회복합니다.,Ranime tous les alliés évanouis avec tous leurs PV.,全パーティーメンバーが復活、回復する。,复活所有队员并恢复体力。,復活所有隊員並恢復體力。
UI/Field/Object/Healing/Use,Text,,회복하기,Soigner,回復,恢复,恢復
UI/Field/Object/Leave,Text,,나가기,Quitter,完了,退出,退出
UI/Field/Object/Oblivi/LucySkillSelect,Text,,루시 스킬 선택,Sélectionnez une compétence de Lucy.,ルシーのスキル選択,选择露西技能,選擇露西技能
UI/Field/Object/RelicChest/ChoiceBtn,Text,,유물 확인,Voir les Reliques,遺物確認,确认遗物,確認遺物
UI/Field/Object/RelicChest/RelicCase,Text,,유물 전시대 열기,Ouvrir le Présentoir de reliques,遺物展示館を開く,打开遗物展示台,打開遺物展示台
UI/Field/Object/RelicChest/Title,Text,,파로스 석상,Statue de Pharos,パロス石像,法洛斯石像,法洛斯石像
UI/Field/Object/RelicChest/TitleSub,Text,,두 개의 무작위 유물 중 하나를 획득합니다.,Choisissez 1 Relique parmi 2 proposées aléatoirement.,ランダムな遺物2個の中から1個を獲得できる。,在随机两个遗物中选择一个获得。,在隨機兩個遺物中選擇一個獲得。
UI/Field/Object/RelicChest/Use,Text,,유물 확인,Voir les Reliques,遺物確認,确认遗物,確認遺物
UI/Field/Object/TimeVault/Enchant,Text,,보존 기능 부여,Déverrouiller la préservation,保存する,添加保存功能,新增儲存功能
UI/Field/Object/TimeVault/Title,Text,,시간 금고,Coffre temporel,時間の金庫,时间宝箱,時間寶箱
UI/Field/Object/TimeVault/TitleSub,Text,,현재 회차에서 전멸 시 다음 회차로 아이템 하나를 넘깁니다.,Transférez 1 objet de la partie actuelle vers la suivante en cas de défaite de votre groupe.,現在の周回でパーティーが全滅した時、次の周回にアイテムを1個転送できる。,在本次调查中团灭时，将一个道具转存到下一次调查。,在本次調查中團滅時，將一個道具轉存到下一次調查。
UI/Field/Object/TimeVault/Used,Text,,사용 불가,Impossible à utiliser,使用不可,无法使用,無法使用
UI/Field/Object/Vending/ChangeImpos,Text,,전용 스킬이 없습니다.,Aucune compétence de classe.,専用スキルがありません。,无专属技能。,無專屬技能。
UI/Field/Object/Vending/Gold,Text,,골드가 부족합니다.,Vous n'avez pas assez d'Or.,ゴールドが足りない。,金币不足。,金幣不足。
UI/Field/Object/Vending/SelectFogetSkill,Text,,잊을 스킬 선택,Sélectionnez une compétence à oublier.,忘れるスキル選択,选择要遗忘的技能,選擇要遺忘的技能
UI/Field/PotionResist,Text,,해로운 효과 저항함!,A résisté à un effet négatif !,抵抗！,抵抗有害效果！,抵抗有害效果！
UI/Field/ReturnArk,Text,,방주로 돌아가기,Retourner à l'Arche,アークへ戻る,返回方舟,返回方舟
UI/Field/SelectTarget,Text,,"대상을 선택하세요
<size=28>선택 취소 - ESC / <sprite name=Click>","Sélectionnez une cible
<size=28>Annuler - ESC / <sprite name=Click>","ターゲットを選択してください。
 <size=28>選択 キャンセル - ESC / <sprite name=Click>","请选择目标
  <size=28>取消选择 - ESC / <sprite name=Click>","請選擇目標
  <size=28>取消選擇 - ESC / <sprite name=Click>"
UI/Field/StageName/1,Text,,안개 정원,Jardin des Brumes,霧の庭園,迷雾庭院,迷霧庭院
UI/Field/StageName/2,Text,,핏빛 공원,Parc Sanglant,血みどろ遊園地,血色公园,血色遊樂園
UI/Field/StageName/3,Text,,하얀 무덤,Cimetière Blanc,白い墓地,白色墓地,白色墓地
UI/Field/StageName/Archive,Text,,아카이브,Archives,アーカイブ,档案馆,檔案
UI/Field/StageName/MasterMap,Text,,,,,,
UI/Field/Teleport,Text,,반짝이는 위치를 선택하여 빠른이동,Sélectionnez un hexagone clignotant pour vous y téléporter rapidement.,光るところを選択し、テレポート,点击闪烁的位置快速移动,點擊閃爍的位置快速移動
UI/FieldEventSelect/Reroll,Text,,새로고침,Actualiser,再選択,刷新,重新整理
UI/FieldEventSelect/RerollDesc,Text,,새로고침 &a회 남음,Actualisations restantes : &a,再選択後&a回,剩余&a次刷新次数,剩餘&a次刷新次數
UI/FieldEventSelect/Title,Text,,이곳에서 발견한 것은...,Vous avez trouvé...,ここで発見したのは…,在这里发现了……,在這裡發現了……
UI/FriendShip/FriendShip/ApplyTitle,Text,,{0}에게 {1}을(를) 선물하시겠습니까?,Offrir {1} à {0} ?,{0}に{1}をプレゼントしますか？,确定要把{1}送给{0}吗？,確定要把{1}送給{0}嗎？
UI/FriendShip/FriendShip/ChangeItem,Text,,아이템 변경,Changer d'objet,アイテム変更,变更道具,變更道具
UI/FriendShip/FriendShip/Effect,Text,,"인연의 증표 3개 달성 시,  첫번째 레벨업 시 선택할 수 있는 스킬의 수가 증가합니다.
인연의 증표를 3개 모은 상태에서 선호하는 선물을 줄 경우, 다음 레벨업 시 선택할 수 있는 스킬의 수가 증가합니다.","À partir de 3 Jetons d'amitié, les personnages peuvent choisir parmi davantage de compétences lors de leur première montée de niveau.
De plus, lorsqu'un cadeau préféré est offert à un personnage ayant 3 Jetons d'amitié, celui-ci peut choisir parmi davantage de compétences lors de sa prochaine montée de niveau.","絆の証票が3つになると、最初のレベルアップで選択できるスキルが増えます。
絆の証票が3つある状態でプレゼントした場合、次のレベルアップで選べるスキルが増えます。","已获得3个信物时，第一次升级时可选的技能数增加。
在已收集了3个信物的状态下赠送喜欢的礼物时，下一次升级时可选的技能数增加。","已獲得3個信物時，第一次升級時可選的技能數增加。
在已收集了3個信物的狀態下贈送喜歡的禮物時，下一次升級時可選的技能數增加。"
UI/FriendShip/FriendShip/Give,Text,,선물,Offrir,プレゼント,赠送,贈送
UI/FriendShip/FriendShip/LikeGift,Text,,선호 선물,Cadeaux préférés,好きなプレゼント,喜欢的礼物,喜歡的禮物
UI/FriendShip/FriendShip/SelectGiftItem,Text,,선물할 아이템을 골라주세요.,Sélectionnez un objet à offrir.,プレゼントを選択してください。,请选择要赠送的礼物。,請選擇要贈送的禮物。
UI/FriendShip/FriendShip/SelectedItem,Text,,선물할 아이템 :,Objet à offrir :,プレゼント：,要赠送的礼物：,要贈送的禮物：
UI/FriendShip/FriendShip/SubTitle,Text,,인연의 증표를 선물할 수 있습니다.,Vous pouvez offrir un Jeton d'amitié.,絆の証票をプレゼントできます。,可以赠送信物。,可以贈送信物。
UI/FriendShip/FriendShip/Title,Text,,인연의 증표,Jeton d'amitié,絆の証票,信物,信物
UI/FriendShip/FriendShip/Yet,Text,,아직 선물할 수 없습니다.,Ne peut pas encore être offert.,まだプレゼントできません。,现在还不能赠送。,現在還不能贈送。
UI/FriendShip/GetFriendShip/RedTitle,Text,,붉은 인연의 증표를 획득했습니다.,Jeton d'amitié rouge obtenu.,赤い絆の証票を獲得しました。,已获得红色信物。,已獲得紅色信物。
UI/FriendShip/GetFriendShip/SubTitle,Text,,의 인연의 증표를 획득했습니다.,Jeton d'amitié de {0} obtenu.,との絆の証票を獲得しました。,的信物。,的信物。
UI/FriendShip/GetFriendShip/Title,Text,,인연의 증표 획득,Jeton d'amitié obtenu,絆の証票獲得,获得信物,獲得信物
UI/FriendShip/SelectGift/GiftCheck,Text,,선물 확인,Liste des cadeaux,プレゼント一覧,礼物一览,禮物一覽
UI/FriendShip/SelectGift/GiveSubTitle,Text,,선물할 수 있는 아이템 목록입니다.,Liste des objets que vous pouvez offrir.,プレゼントアイテムのリストです。,可赠送的礼物列表。,可贈送的禮物清單。
UI/FriendShip/SelectGift/GiveTitle,Text,,선물 아이템,Objets à offrir,プレゼント,礼物,禮物
UI/FriendShip/SelectGift/ItemCount,Text,,갯수,Quantité,個数,数量,數量
UI/FriendShip/SelectGift/ItemList,Text,,아이템 목록,Liste des objets,アイテムリスト,礼物列表,禮物清單
UI/FriendShip/SelectGift/ShowSubTitle,Text,,보유한 선물 아이템 목록입니다.,Objets à offrir actuellement en votre possession.,持っているプレゼントアイテムのリストです。,持有的礼物列表。,持有的禮物列表。
UI/FriendShip/Vending/GiftItemSubTitle,Text,,선물 아이템을 획득했습니다.,Vous avez obtenu un objet à offrir.,プレゼントアイテムを獲得しました。,已获得礼物。,已獲得禮物。
UI/FriendShip/Vending/Play,Text,,구입,Acheter,購入,购买,購買
UI/FriendShip/Vending/PlayAll,Text,,모두 구입,Tout acheter,すべて購入,全部购买,全部購買
UI/FriendShip/Vending/SubTitle,Text,,선물아이템을 구입할 수 있습니다.,Vous pouvez acheter des objets à offrir ici.,プレゼントを購入できます。,可购买礼物,可購買禮物
UI/FriendShip/Vending/Title,Text,,선물 아이템 자판기,Distributeur de cadeaux,プレゼント自販機,礼物售货机,禮物自動販賣機
UI/Gameover/ClearText,Text,,게임 클리어....?,Partie terminée... ?,ゲームクリア…？,游戏通关……？,遊戲通關……？
UI/Gameover/Gameover,Text,,파티가 전멸했습니다.,Votre groupe a été anéanti.,パーティーが全滅しました。,团灭。,團滅。
UI/Gameover/GameoverText_0,Text,,괜찮아. 아직 끝나지 않았으니까. 다시하면 되잖아?,"Ce n'est pas grave. Ce n'est pas encore fini. Vous pouvez toujours réessayer, n'est-ce pas ?",大丈夫。まだ終わってない。やり直せるよ？,没关系，还没有结束，重新开始就好了。,沒關係，還沒結束，重新開始就好了。
UI/Gameover/GameoverText_1,Text,,다음에는 더 냉정하게 판단하면 해낼 수 있을거야.,Vous réussirez si vous réfléchissez davantage avant d'agir.,冷静になればやれるはずだよ。,下次再冷静一点做出判断，一定可以的。,下次再冷靜一點做出判斷，一定可以的。
UI/Gameover/GameoverText_2,Text,,전보다 더 잘 할 수 있을거야. 다시 가보자.,Vous ferez mieux la prochaine fois. Réessayons.,前より進めるはずだよ。もう1回やろう。,下次一定可以做的更好，再接再厉。,下次一定可以做的更好，再接再厲。
UI/Gameover/GameoverText_3,Text,,시계탑에 도달할 때까지 멈출 수 없을거야.,Vous ne pouvez pas abandonner avant d'avoir atteint la Tour de l'Horloge.,時計塔にたどり着くまでやるしかない。,在抵达钟楼之前，不要停下你的脚步。,在抵達鐘樓之前，不要停下你的腳步。
UI/Gameover/GameoverText_4,Text,,계속 실패해도... 너의 노력은 없어지는게 아니야.,Même si vous échouez encore et encore... vos efforts ne seront jamais vains.,失敗しても…努力は無駄にならない。,就算失败……你的付出并没有白费。,就算失敗……你的付出並沒有白費。
UI/Gameover/GameoverText_5,Text,,"더 냉철해져, 더 강해져. 그럼 할 수 있어.",C'est en forgeant qu'on devient forgeron. Vous pouvez y arriver.,より冷静に、より強くなれ。さすればできる。,你要变得更加冷静，更加强大。,你要變得更冷靜，更強大。
UI/Gamepad/LayoutOff,Text,,탭 끄기,Fermer l'onglet,タブオフ,关闭页签,關閉頁籤
UI/Gamepad/LayoutOn,Text,,탭 켜기/변경,Ouvrir / Changer d'onglet,タブオン・変更,打开/更改页签,開啟/更改頁籤
UI/Hope/HopeMode,Text,,희망 모드,Mode Espoir,希望モード,希望模式,希望模式
UI/Hope/HopeModeInfo,Text,,"진행 상황을 잃지 않았으며, 희망 레벨이 증가했습니다.",Votre progression n'a pas été perdue et votre niveau d'Espoir a augmenté.,進行状況を維持し、希望レベルが上がりました。,没有丢失进程，希望等级增加。,沒有遺失進程，希望等級增加。
UI/Hope/HopeModeLevelDown,Text,,희망 레벨을 1 감소시킵니다.,Niveau d'Espoir réduit de 1.,希望レベルを1下げます。,降低1级希望等级。,降低1級希望等級。
UI/Hope/Hope_Desc,Text,,파티 전멸 시 진행 상황을 잃고 처음부터 다시 시작합니다.,"En cas de défaite, toute la progression du groupe est perdue et vous recommencez depuis le début.",パーティー全滅時、進行状況を失い最初からやり直します。,队伍团灭时，将丢失游戏进程重新开始。,隊伍團滅時，將失去遊戲進程重新開始。
UI/Hope/ModeChange,Text,,모드 변경,Changer de mode,モード変更,更改模式,更改模式
UI/Hope/Name_Hope,Text,,희망,Espoir,希望,希望,希望
UI/Hope/Name_Nomal,Text,,일반,Normal,ノーマル,普通,普通
UI/Hope/NomalMode,Text,,일반 모드,Mode Normal,ノーマルモード,普通模式,普通模式
UI/Hope/Nomal_Desc,Text,,"파티가 전멸해도 다시 도전 가능.
전멸 시 파티의 진행 상황을 잃지 않으며, 희망 레벨이 증가합니다.","Rejouez même si votre groupe est anéanti. En cas de défaite, la progression du groupe est conservée et votre niveau d'Espoir augmente.","パーティーが全滅しても再び挑戦できます。
パーティーが全滅すると、希望レベルが上がり、進行状況を維持します。","当队伍团灭时可以重新挑战。
 团灭时希望等级增加，且不丢失队伍的进程。","當隊伍團滅時可以重新挑戰。
 團滅時希望等級增加，不失去隊伍的進程。"
UI/Hope/SelectMode,Text,,플레이 할 모드를 선택하세요,Choisissez un mode de jeu.,プレイするモードを選んでください。,请选择想要体验的模式。,請選擇想要體驗的模式。
UI/HopeMode/Desc,Text,,희망모드를 이어서 진행하겠습니까?,Continuer en mode Espoir ?,「希望モード」を再開しますか？,确定要继续进行希望模式吗？,確定要繼續進行希望模式嗎？
UI/HopeMode/HopeLevel,Text,,희망 레벨,Niveau d'Espoir,希望レベル,希望等级,希望等級
UI/HopeMode/StopHopeMode,Text,,희망 모드를 중단하시겠습니까?,Quitter le mode Espoir ?,「希望モード」を中断しますか？,确定要中断希望模式吗？,確定要中斷希望模式嗎？
UI/HopeMode/StopHopeModeSub,Text,,임시 세이브 파일이 삭제됩니다.,Le fichier de sauvegarde « temporaire » sera supprimé..,中断セーブファイルが削除されます。,临时保存的文件将被删除。,臨時保存的檔案將被刪除。
UI/HopeMode/Title,Text,,희망모드 진행 상황,Progression du mode Espoir,「希望モード」進行状況,希望模式进程,希望模式進程
UI/IllustView/HideHUD,Text,,HUD 숨김,Masquer l'interface,HUDを隠す,隐藏HUD,隱藏HUD
UI/IllustView/ResetPos,Text,,위치 초기화,Réinitialiser la position,位置初期化,位置初始化,位置初始化
UI/IllustView/Zoom,Text,,확대 / 축소,Zoom avant / Zoom arrière,拡大・縮小,放大 / 缩小,放大 / 縮小
UI/Intro/0,Text,,그것은 예고도 없이 찾아왔다.,Elle est arrivée sans le moindre avertissement.,それは、何の前兆もなくやってきた。,这一切发生得毫无征兆。,這一切發生得毫無預警。
UI/Intro/1,Text,,지상은 갑작스럽게 어둠으로 뒤덮였다.,Le monde fut englouti par une obscurité inconnue.,大地は闇に包まれてしまった。,世界被突如其来的黑暗所笼罩。,世界被突如其來的黑暗所籠罩。
UI/Intro/10,Text,,그들이 알아낸 것은 단 한 가지...,Les survivants ne découvrirent qu'une seule chose...,突き止められた事実はただひとつ…,人们知道的只有一个……,人們知道的只有一個……
UI/Intro/11,Text,,"『시계탑을 작동하면, 모든 것을 원래대로 되돌릴 수 있다』","« Activez la Tour de l'Horloge, et le monde sera restauré. »",「時計塔を起動すれば、全てを元に戻せる。」,『启动钟楼，就可以倒转时光，回到一切灾难发生之前。』,「啟動鐘樓，就可以倒轉時光，回到一切災難發生之前。 」
UI/Intro/12,Text,,그들이 남긴 마지막 메시지뿐이었다.,C'était le dernier message qu'ils avaient laissé au monde.,それが残された最後のメッセージだった。,这是他们留下的最后一条信息。,這是他們留下的最後一則訊息。
UI/Intro/2,Text,,"땅이 뒤틀리고, 모든 것이 살아 움직여 사람들을 공격하기 시작했다.","Le monde se déforma, et toute chose s'anima pour attaquer l'humanité.",大地が歪み、あらゆるものが命を持って動き出し、人々を攻撃し始めた。,大地开始扭曲，黑暗中的生物开始肆意攻击人类。,大地開始扭曲，黑暗中的生物開始肆意攻擊人類。
UI/Intro/3,Text,,"이대로는 인류가 절멸할 것이라고 판단한 과학자들은, 한 프로젝트를 계획했다.","Comprenant que l'humanité courait à sa perte, les scientifiques lancèrent un projet.",人類滅亡を予測した科学者たちは、あるプロジェクトを計画した。,为了阻止人类的灭亡，科学家们决定开启一项计划。,為了阻止人類的滅亡，科學家決定開啟一個計畫。
UI/Intro/4,Text,,"「방주」를 만들고, 그곳으로 대피하는 것이었다.","Construire une « Arche », un refuge pour préserver l'humanité.",「アーク」を造り、そこに逃げ込むのだ。,那就是制造人类的避难所——「方舟」。,那就是製造人類的避難所──「方舟」。
